number,	correct,result,	similarity
0,	4,	9,	530.043
1,	4,	9,	574.235
2,	4,	8,	655.663
3,	4,	8,	655.663
4,	4,	4,	682.526
5,	4,	9,	552.691
6,	4,	9,	523.802
7,	4,	5,	741.163
8,	4,	9,	574.235
9,	4,	9,	530.043
10,	4,	9,	525.487
11,	4,	9,	532.684
12,	4,	9,	530.989
13,	4,	9,	590.921
14,	4,	9,	523.802
15,	4,	4,	682.526
16,	4,	9,	529.054
17,	4,	9,	590.921
18,	4,	9,	525.487
19,	4,	4,	682.599
